job_title,job_location,job_department,job_url,first_seen,base_salary,job_type,job_level,job_apply_end_date,last_seen,is_active,company,company_url,job_board,job_board_url
Branch Manager - Lampung (Kalianda),Lampung Selatan Regency,Business Dev And Sales,https://dealls.com/role/branch-manager-lampung-kalianda,22/08/2024 07:11:18,N/A,contract,N/A,,2024-08-19T06:40:18.237Z,True,Ruangguru,N/A,Dealls,https://dealls.com/
Relationship Manager Lending - KoinWorks Bank,Tangerang Selatan,Business Dev And Sales,https://dealls.com/role/relationship-manager-lending-koinworks-bank,22/08/2024 07:11:18,N/A,fullTime,N/A,,2024-08-19T08:39:20.182Z,True,PT Lunaria Annua Teknologi (KoinWorks),N/A,Dealls,https://dealls.com/
HRIS Supervisor,Jakarta,Recruiting And People,https://dealls.com/role/hris-supervisor,22/08/2024 07:11:18,N/A,fullTime,N/A,,2024-08-07T11:40:41.085Z,True,Agung Sedayu Group,N/A,Dealls,https://dealls.com/
Sales Manager - Paint,Tangerang,Business Dev And Sales,https://dealls.com/role/sales-manager-paint,22/08/2024 07:11:18,N/A,fullTime,N/A,,2024-08-19T13:55:59.180Z,True,BRIK,N/A,Dealls,https://dealls.com/
Sales Horeca & General Institution,Jakarta,Business Dev And Sales,https://dealls.com/role/sales-horeca-and-general-institution,22/08/2024 07:11:18,N/A,contract,N/A,,2024-08-19T01:57:54.882Z,True,PT Usaha Pintar Pratama,N/A,Dealls,https://dealls.com/
Academic Manager,Jakarta Selatan,Admin And Ops,https://dealls.com/role/academic-manager,22/08/2024 07:11:18,10000000,fullTime,N/A,,2024-08-19T05:26:48.105Z,True,Migunani&Co,N/A,Dealls,https://dealls.com/
Marketing Internship,Jakarta Barat,Marketing And Social Media,https://dealls.com/role/marketing-internship-3,22/08/2024 07:11:18,N/A,internship,N/A,,2024-08-22T04:27:18.198Z,True,PT Mega Central Finance (MCF),N/A,Dealls,https://dealls.com/
GA Facility Services,Jakarta Utara,N/A,https://dealls.com/role/ga-facility-services,22/08/2024 07:11:18,N/A,fullTime,N/A,,2024-08-22T07:09:22.683Z,True,Arya Noble,N/A,Dealls,https://dealls.com/
Field Supervisor,Jakarta Selatan,Business Dev And Sales,https://dealls.com/role/field-supervisor,22/08/2024 07:11:18,5000000,fullTime,N/A,,2024-08-22T04:07:16.518Z,True,Arya Noble,N/A,Dealls,https://dealls.com/
Staff Nurse Marketing Padang,Padang,Health And Science,https://dealls.com/role/staff-nurse-marketing-padang,22/08/2024 07:11:18,2600000,contract,N/A,,2024-08-21T09:13:12.795Z,True,Morula IVF Indonesia (PT. Morula Indonesia),N/A,Dealls,https://dealls.com/
Finance Supervisor,Jakarta Barat,Finance And Accounting,https://dealls.com/role/finance-supervisor-2,22/08/2024 07:11:18,N/A,fullTime,N/A,,2024-08-22T01:16:33.434Z,True,PT. CS2 POLA SEHAT,N/A,Dealls,https://dealls.com/
Supply Excellence Intern,Jakarta Selatan,Admin And Ops,https://dealls.com/role/supply-excellence-intern,22/08/2024 07:11:18,N/A,internship,N/A,,2024-08-21T11:21:30.495Z,True,RedDoorz,N/A,Dealls,https://dealls.com/
Legal Manager,Jakarta Selatan,Business Dev And Sales,https://dealls.com/role/legal-manager-3,22/08/2024 07:11:18,N/A,fullTime,N/A,,2024-08-21T14:42:49.288Z,True,MR. DIY Indonesia,N/A,Dealls,https://dealls.com/
Chinese Food Merchandising Supervisor (Mandarin Speaker),Tangerang Selatan,Admin And Ops,https://dealls.com/role/chinese-food-merchandising-supervisor-mandarin,22/08/2024 07:11:18,N/A,internship,N/A,,2024-08-21T08:18:11.458Z,True, AEON INDONESIA PT,N/A,Dealls,https://dealls.com/
B2B Partnership,Jakarta Selatan,Business Dev And Sales,https://dealls.com/role/b2b-partnership,22/08/2024 07:11:18,7000000,contract,N/A,,2024-08-22T00:06:36.677Z,True,PT Teman Satu Skolla,N/A,Dealls,https://dealls.com/
Sales Elevator Escalator,Jakarta Pusat,Business Dev And Sales,https://dealls.com/role/sales-elevator-escalator,22/08/2024 07:11:18,N/A,fullTime,N/A,,2024-08-22T04:33:22.186Z,True,PT Japan Elevator Service Indonesia,N/A,Dealls,https://dealls.com/
Quality Control Specialist (Fintech),Jakarta Selatan,Finance And Accounting,https://dealls.com/role/quality-control-specialist-fintech-1,22/08/2024 07:11:18,N/A,contract,N/A,,2024-08-22T06:45:12.041Z,True,PT Indonesia Fintopia Technology (Easycash),N/A,Dealls,https://dealls.com/
Accounting Payroll Officer,Jakarta Barat,N/A,https://dealls.com/role/accounting-payroll-officer,22/08/2024 07:11:18,6000000,fullTime,N/A,,2024-08-22T07:03:23.859Z,True,Migunani&Co,N/A,Dealls,https://dealls.com/
Field Sales (Jakarta & Bekasi Area),Jakarta Selatan,Business Dev And Sales,https://dealls.com/role/field-sales-jakarta-and-bekasi,22/08/2024 07:11:18,5100000,contract,N/A,,2024-08-22T00:01:26.432Z,True,PT Teman Satu Skolla,N/A,Dealls,https://dealls.com/
Business Development (Offline Sales),Tangerang Selatan,Business Dev And Sales,https://dealls.com/role/business-development-offline-sales,22/08/2024 07:11:18,N/A,contract,N/A,,2024-08-22T04:12:55.247Z,True,Lash Boss,N/A,Dealls,https://dealls.com/
Supply Chain Management,Tangerang Selatan,Admin And Ops,https://dealls.com/role/supply-chain-management,22/08/2024 07:11:18,N/A,contract,N/A,,2024-08-22T03:56:07.412Z,True,Lash Boss,N/A,Dealls,https://dealls.com/
